hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,location,hotel_price
1,Jaipur Marriott Hotel,4.4,Excellent,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Ashram Marg Near Jawahar Circle, Tonk Road, Jaipur, Rajasthan, 302015",India,"26.840895, 75.796167",94
2,"ITC Rajputana, A Luxury Collection Hotel, Jaipur",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly']","Palace Road Rajasthan, Jaipur, Rajasthan, 302006",India,"26.918753, 75.791663",72
3,Hilton Jaipur,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","42 Geejgarh House Hawa Sadak, Jaipur, Rajasthan, 302006",India,"26.901508, 75.783514",63
4,"Trident, Jaipur",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Amber Fort Road Opposite Jal, Jaipur, Rajasthan, 302002",India,"26.956677, 75.843231",74
5,Jaipur Marriott Hotel,4.4,Excellent,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Ashram Marg Near Jawahar Circle, Tonk Road, Jaipur, Rajasthan, 302015",India,"26.840895, 75.796167",94
6,Hilton Jaipur,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","42 Geejgarh House Hawa Sadak, Jaipur, Rajasthan, 302006",India,"26.901508, 75.783514",63
7,"ITC Rajputana, A Luxury Collection Hotel, Jaipur",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly']","Palace Road Rajasthan, Jaipur, Rajasthan, 302006",India,"26.918753, 75.791663",72
8,"Holiday Inn Jaipur City Centre, an IHG Hotel",4.2,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Commercial Plot No 1 Sardar Patel Road, Jaipur, Rajasthan, 302001",India,"26.90255, 75.793189",66
9,"Four Points by Sheraton Jaipur, City Square",4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","City Square, Vasundhara Colony, Tonk Road, Jaipur, Rajasthan, 302018",India,"26.863574, 75.796034",61
10,The Oberoi Rajvilas,4.8,Exceptional,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Goner Road, Jaipur, Rajasthan, 303012",India,"26.876067, 75.882354",362
11,5 BY OYO METROPOLITAN,4.1,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Near Nehru Sehkar Bhawan, C Scheme, Jaipur, RJ, 302007",India,"26.902057, 75.793617",75
12,Rambagh Palace,4.8,Exceptional,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Bhawani Singh Road, Jaipur, Rajasthan, 302 005",India,"26.897621, 75.807762",499
13,"Crowne Plaza Jaipur Tonk Road, an IHG Hotel",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","SP1, Sitapura (RIICO), Tonk Road, Jaipur, Rajasthan, 302022",India,"26.779667, 75.827339",54
14,"Four Points by Sheraton Jaipur, City Square",4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","City Square, Vasundhara Colony, Tonk Road, Jaipur, Rajasthan, 302018",India,"26.863574, 75.796034",61
15,Umaid Bhawan - A Heritage Style Boutique Hotel,4.3,Excellent,"['Breakfast included', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Behari Marg, Bank Road, bani Park, Jaipur, Rajasthan, 302016",India,"26.92844, 75.79236",63
16,Le Méridien Jaipur Resort & Spa,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Number 1, RIICO, Amer, Rajasthan, 302028",India,"27.032676, 75.888939",114
17,Radisson Jaipur City Center,4.0,Very Good,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Khasa Kothi Circle, M.I. Road, Jaipur, Rajasthan, 302001",India,"26.920224, 75.794316",60
18,"Devi Ratn, Jaipur -IHCL SeleQtions",4.7,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Pool']","Jamdoli, Agra Road, Tehsil Ballupura, Jaipur, Rajasthan, 302031",India,"26.916746, 75.880932",208
19,Chokhi Dhani Resort Jaipur,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","12th Mile, Tonk Road, via Vatika, Jaipur, Rajasthan, 303905",India,"26.767058, 75.836825",114
20,The Leela Palace Jaipur,4.7,Exceptional,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Jaipur-Delhi Highway NH11, Kookas, Jamwa Ramgarh, Rajasthan, 302028",India,"27.048078, 75.902651",201
21,Radisson Blu Jaipur,3.8,Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Plot No 5 & 6 Airport Plaza, Tonk Road, Jaipur, Rajasthan, 302018",India,"26.842498, 75.793736",74
22,Umaid Mahal - A Heritage Style Boutique Hotel,4.3,Excellent,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","C-20/B2 Behari Marg Bani Park, Jaipur, Rajasthan, 302016",India,"26.927879, 75.78891",46
23,Buena Vista Luxury Resort,4.5,Wonderful,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Village Pilli Ki Talai, Delhi Bypass Rd, Jaipur District, Amer, Rajasthan, 302028",India,"26.984625, 75.906878",322
24,Alsisar Haveli - A Heritage Hotel,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Sansar Chandra Road, Jaipur, Rajasthan, 302001",India,"26.922864, 75.804215",101
25,Rajmahal Palace RAAS,4.4,Excellent,"['Breakfast included', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Sadar Patel Marg, Jaipur, Rajasthan, 302001",India,"26.903559, 75.792821",516
26,Royal Heritage Haveli,4.4,Excellent,"['Breakfast included', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Khatipura Tiraya, Khatipura Road, Jaipur, Rajasthan, 302012",India,"26.925373, 75.745785",142
27,Ramada by Wyndham Jaipur,4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Govind Marg Raja Park, Jaipur, Rajasthan, 302004",India,"26.896044, 75.829106",90
28,Umaid Haveli Hotel & Resorts,3.8,Good,"['Breakfast included', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","CP-5 RIICO Kukas, Amer, Rajasthan, 302028",India,"27.029656, 75.89593",108
29,Ramada by Wyndham Jaipur North,,,"['Breakfast included', 'Air conditioning', 'Free WiFi', 'Parking included', 'Pool', 'Restaurant']","A-2/3/11/12, Metal Colony Sikar Road, Opposite Bhawani Niketan School, Jaipur, RJ, 302023",India,"26.947762, 75.77337",57
30,Doubletree by Hilton Jaipur Amer,4.6,Wonderful,"['Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant', 'Gym']","935 Kukas Delhi Road, Jamwa Ramgarh, Rajasthan, 302028",India,"27.046302, 75.905236",161
31,Sarovar Premiere Jaipur,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant temporarily unavailableRestaurant']","Lal Kothi, Tonk Road, Sahakar Marg, Jaipur, Rajasthan, 302015",India,"26.881962, 75.797315",60
32,Narain Niwas Palace,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","J-5, Narayan Singh Road, Jaipur, RJ, 302004",India,"26.899523, 75.813088",88
33,Zone by The Park Bani Park Jaipur,4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant temporarily unavailableRestaurant']","Madhosingh Road, Bani Park, Jaipur, Rajasthan, 302016",India,"26.933869, 75.794125",86
34,Bissau Palace,3.6,Good,"['Hot Tub', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Khetri House Road, Near Saroj Cinema, Outside Chandpole Gate, Jaipur, Rajasthan, 302016",India,"26.929905, 75.807597",67
35,ibis Jaipur Civil Lines Hotel,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Civil Lines Area, Ajmer Road, Near Civil Lines Metro Station, Jaipur, Rajasthan, 302006",India,"26.90795, 75.779678",47
36,Pearl Palace Heritage,4.8,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Breakfast available', 'Room service']","54 , Gopal Bari, Jaipur, RJ, 302001",India,"26.91593, 75.79243",39
1,Jaipur Marriott Hotel,4.4,Excellent,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Ashram Marg Near Jawahar Circle, Tonk Road, Jaipur, Rajasthan, 302015",India,"26.840895, 75.796167",94
2,"ITC Rajputana, A Luxury Collection Hotel, Jaipur",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly']","Palace Road Rajasthan, Jaipur, Rajasthan, 302006",India,"26.918753, 75.791663",72
3,Hilton Jaipur,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","42 Geejgarh House Hawa Sadak, Jaipur, Rajasthan, 302006",India,"26.901508, 75.783514",63
4,"Trident, Jaipur",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Amber Fort Road Opposite Jal, Jaipur, Rajasthan, 302002",India,"26.956677, 75.843231",74
5,Jaipur Marriott Hotel,4.4,Excellent,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Ashram Marg Near Jawahar Circle, Tonk Road, Jaipur, Rajasthan, 302015",India,"26.840895, 75.796167",94
6,Hilton Jaipur,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","42 Geejgarh House Hawa Sadak, Jaipur, Rajasthan, 302006",India,"26.901508, 75.783514",63
7,"ITC Rajputana, A Luxury Collection Hotel, Jaipur",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly']","Palace Road Rajasthan, Jaipur, Rajasthan, 302006",India,"26.918753, 75.791663",72
8,"Holiday Inn Jaipur City Centre, an IHG Hotel",4.2,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Commercial Plot No 1 Sardar Patel Road, Jaipur, Rajasthan, 302001",India,"26.90255, 75.793189",66
9,"Four Points by Sheraton Jaipur, City Square",4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","City Square, Vasundhara Colony, Tonk Road, Jaipur, Rajasthan, 302018",India,"26.863574, 75.796034",61
10,The Oberoi Rajvilas,4.8,Exceptional,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Goner Road, Jaipur, Rajasthan, 303012",India,"26.876067, 75.882354",362
11,5 BY OYO METROPOLITAN,4.1,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Near Nehru Sehkar Bhawan, C Scheme, Jaipur, RJ, 302007",India,"26.902057, 75.793617",75
12,Rambagh Palace,4.8,Exceptional,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Bhawani Singh Road, Jaipur, Rajasthan, 302 005",India,"26.897621, 75.807762",499
13,"Crowne Plaza Jaipur Tonk Road, an IHG Hotel",4.4,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","SP1, Sitapura (RIICO), Tonk Road, Jaipur, Rajasthan, 302022",India,"26.779667, 75.827339",54
14,"Four Points by Sheraton Jaipur, City Square",4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","City Square, Vasundhara Colony, Tonk Road, Jaipur, Rajasthan, 302018",India,"26.863574, 75.796034",61
15,Umaid Bhawan - A Heritage Style Boutique Hotel,4.3,Excellent,"['Breakfast included', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Behari Marg, Bank Road, bani Park, Jaipur, Rajasthan, 302016",India,"26.92844, 75.79236",63
16,Le Méridien Jaipur Resort & Spa,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Number 1, RIICO, Amer, Rajasthan, 302028",India,"27.032676, 75.888939",114
17,Radisson Jaipur City Center,4.0,Very Good,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Khasa Kothi Circle, M.I. Road, Jaipur, Rajasthan, 302001",India,"26.920224, 75.794316",60
18,"Devi Ratn, Jaipur -IHCL SeleQtions",4.7,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly', 'Pool']","Jamdoli, Agra Road, Tehsil Ballupura, Jaipur, Rajasthan, 302031",India,"26.916746, 75.880932",208
19,Chokhi Dhani Resort Jaipur,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","12th Mile, Tonk Road, via Vatika, Jaipur, Rajasthan, 303905",India,"26.767058, 75.836825",114
20,The Leela Palace Jaipur,4.7,Exceptional,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Jaipur-Delhi Highway NH11, Kookas, Jamwa Ramgarh, Rajasthan, 302028",India,"27.048078, 75.902651",201
21,Radisson Blu Jaipur,3.8,Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Plot No 5 & 6 Airport Plaza, Tonk Road, Jaipur, Rajasthan, 302018",India,"26.842498, 75.793736",74
22,Umaid Mahal - A Heritage Style Boutique Hotel,4.3,Excellent,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","C-20/B2 Behari Marg Bani Park, Jaipur, Rajasthan, 302016",India,"26.927879, 75.78891",46
23,Buena Vista Luxury Resort,4.5,Wonderful,"['Hot Tub', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Village Pilli Ki Talai, Delhi Bypass Rd, Jaipur District, Amer, Rajasthan, 302028",India,"26.984625, 75.906878",322
24,Alsisar Haveli - A Heritage Hotel,4.3,Excellent,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Sansar Chandra Road, Jaipur, Rajasthan, 302001",India,"26.922864, 75.804215",101
25,Rajmahal Palace RAAS,4.4,Excellent,"['Breakfast included', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Sadar Patel Marg, Jaipur, Rajasthan, 302001",India,"26.903559, 75.792821",516
26,Royal Heritage Haveli,4.4,Excellent,"['Breakfast included', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","Khatipura Tiraya, Khatipura Road, Jaipur, Rajasthan, 302012",India,"26.925373, 75.745785",142
27,Ramada by Wyndham Jaipur,4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Govind Marg Raja Park, Jaipur, Rajasthan, 302004",India,"26.896044, 75.829106",90
28,Umaid Haveli Hotel & Resorts,3.8,Good,"['Breakfast included', 'Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry']","CP-5 RIICO Kukas, Amer, Rajasthan, 302028",India,"27.029656, 75.89593",108
29,Ramada by Wyndham Jaipur North,,,"['Breakfast included', 'Air conditioning', 'Free WiFi', 'Parking included', 'Pool', 'Restaurant']","A-2/3/11/12, Metal Colony Sikar Road, Opposite Bhawani Niketan School, Jaipur, RJ, 302023",India,"26.947762, 75.77337",57
30,Doubletree by Hilton Jaipur Amer,4.6,Wonderful,"['Air conditioning', 'Parking included', 'Laundry', 'Pool', 'Restaurant', 'Gym']","935 Kukas Delhi Road, Jamwa Ramgarh, Rajasthan, 302028",India,"27.046302, 75.905236",161
31,Sarovar Premiere Jaipur,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant temporarily unavailableRestaurant']","Lal Kothi, Tonk Road, Sahakar Marg, Jaipur, Rajasthan, 302015",India,"26.881962, 75.797315",60
32,Narain Niwas Palace,,,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","J-5, Narayan Singh Road, Jaipur, RJ, 302004",India,"26.899523, 75.813088",88
33,Zone by The Park Bani Park Jaipur,4.0,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant temporarily unavailableRestaurant']","Madhosingh Road, Bani Park, Jaipur, Rajasthan, 302016",India,"26.933869, 75.794125",86
34,Bissau Palace,3.6,Good,"['Hot Tub', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Khetri House Road, Near Saroj Cinema, Outside Chandpole Gate, Jaipur, Rajasthan, 302016",India,"26.929905, 75.807597",67
35,ibis Jaipur Civil Lines Hotel,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Civil Lines Area, Ajmer Road, Near Civil Lines Metro Station, Jaipur, Rajasthan, 302006",India,"26.90795, 75.779678",47
36,Pearl Palace Heritage,4.8,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Breakfast available', 'Room service']","54 , Gopal Bari, Jaipur, RJ, 302001",India,"26.91593, 75.79243",39
37,Hotel Royal Orchid,4.0,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Opposite to BSNL Office, Tonk Road, Near Durgapura Flyover, Durgapura, Jaipur, Rajasthan, 302018",India,"26.84485, 75.793496",56
38,Leisure Inn Grand Chanakya,4.1,Very Good,"['Air conditioning', 'Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","4 A-B, Kashi Bhawan, Panch Batti, M.I., Jaipur Rajasthan 302001 India, Jaipur, Rajasthan, 302001",India,"26.916507, 75.807764",30
39,Vesta International,3.5,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","S-3, Linking Road, Near Ajmer Pulia, Gopalbadi, Jaipur, Rajasthan, 302001",India,"26.914604, 75.790847",32
40,The Fern Residency Jaipur,3.9,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","A - 13, Govind Marg, Janata Marg, Near Pink Square Mall, Jaipur, Rajasthan, 302004",India,"26.90353, 75.83707",29
41,"Lemon Tree Premier, Jaipur",4.2,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Nirwan Marg, Bani Park, Jaipur, Rajasthan, 302016",India,"26.930335, 75.799828",94
